epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,285.574,0.62529,0.58469,1.12996,0.98966,1,0.995,0.7662,0.76454,8.04258,1.34302,0.000371185,0.000371185,0.000371185
58,290.017,0.63647,0.56487,1.14979,0.99463,1,0.995,0.79823,0.68737,10.1997,1.27745,0.000362938,0.000362938,0.000362938
59,295.687,0.6167,0.60541,1.14596,0.99429,1,0.995,0.80023,0.71416,11.5191,1.3072,0.000354691,0.000354691,0.000354691
60,300.171,0.62633,0.58349,1.12402,0.98927,1,0.995,0.80916,0.67371,8.84202,1.23716,0.000346445,0.000346445,0.000346445
61,305.092,0.60061,0.59046,1.11662,0.99601,1,0.995,0.81101,0.63005,7.72244,1.18812,0.000338198,0.000338198,0.000338198
62,309.955,0.59496,0.55218,1.11061,0.99336,0.99975,0.995,0.80817,0.63758,5.62954,1.19371,0.000329951,0.000329951,0.000329951
63,314.498,0.61844,0.59328,1.1192,0.9948,1,0.995,0.78904,0.68546,6.65517,1.24332,0.000321705,0.000321705,0.000321705
64,320.179,0.64978,0.58949,1.141,0.99454,1,0.995,0.79634,0.66388,8.4096,1.24177,0.000313458,0.000313458,0.000313458
65,324.643,0.63723,0.59254,1.14726,0.99435,1,0.995,0.79919,0.66408,7.26262,1.22969,0.000305211,0.000305211,0.000305211
66,329.07,0.62536,0.55932,1.13,0.99592,1,0.995,0.79287,0.69138,7.55157,1.22435,0.000296964,0.000296964,0.000296964
67,334.621,0.61056,0.54835,1.12711,0.99658,1,0.995,0.7959,0.69354,10.2905,1.24509,0.000288718,0.000288718,0.000288718
68,339.101,0.61757,0.53272,1.14994,0.99086,1,0.995,0.79702,0.66537,12.7799,1.24318,0.000280471,0.000280471,0.000280471
69,344.036,0.61205,0.56062,1.12718,0.98734,0.97174,0.995,0.8096,0.63441,9.87163,1.19545,0.000272224,0.000272224,0.000272224
70,348.911,0.61388,0.54702,1.12934,0.98758,0.99749,0.995,0.81374,0.63477,8.47606,1.19581,0.000263978,0.000263978,0.000263978
71,353.266,0.60606,0.5471,1.13309,0.99516,1,0.995,0.80845,0.64832,8.46877,1.21776,0.000255731,0.000255731,0.000255731
72,358.867,0.5966,0.51751,1.1264,0.99269,1,0.995,0.81416,0.61553,7.45418,1.17407,0.000247484,0.000247484,0.000247484
73,363.225,0.60452,0.52311,1.11208,0.99577,1,0.995,0.81278,0.64541,7.48424,1.1906,0.000239238,0.000239238,0.000239238
74,367.584,0.56159,0.50182,1.11575,0.99532,1,0.995,0.80223,0.67025,9.01453,1.2168,0.000230991,0.000230991,0.000230991
75,373.091,0.60137,0.521,1.11113,0.99657,1,0.995,0.80191,0.66221,8.88118,1.22608,0.000222744,0.000222744,0.000222744
76,377.461,0.62577,0.5432,1.13274,0.99629,1,0.995,0.79252,0.68179,6.60134,1.26634,0.000214497,0.000214497,0.000214497
77,382.179,0.58196,0.52779,1.11756,0.99481,1,0.995,0.79585,0.68108,5.18919,1.27195,0.000206251,0.000206251,0.000206251
78,387.951,0.55431,0.4909,1.08983,0.99593,1,0.995,0.7916,0.685,6.69607,1.27182,0.000198004,0.000198004,0.000198004
79,392.878,0.55878,0.49557,1.10589,0.99686,1,0.995,0.79411,0.68675,8.02279,1.27166,0.000189757,0.000189757,0.000189757
80,398.402,0.56404,0.46984,1.09001,0.99623,1,0.995,0.80153,0.69284,10.8314,1.28858,0.000181511,0.000181511,0.000181511
81,402.996,0.58972,0.48848,1.11472,0.99697,1,0.995,0.80666,0.67791,10.766,1.26384,0.000173264,0.000173264,0.000173264
82,407.466,0.55204,0.46746,1.0851,0.99506,1,0.995,0.81751,0.64295,8.41624,1.19844,0.000165017,0.000165017,0.000165017
83,412.906,0.58068,0.47743,1.09039,0.99528,1,0.995,0.81938,0.63674,6.50206,1.1895,0.000156771,0.000156771,0.000156771
84,417.379,0.58914,0.49,1.10799,0.99615,1,0.995,0.80562,0.6721,7.33135,1.24276,0.000148524,0.000148524,0.000148524
85,422.463,0.59145,0.47913,1.10801,0.99666,1,0.995,0.80202,0.68479,8.12363,1.26482,0.000140277,0.000140277,0.000140277
86,427.104,0.56111,0.46787,1.09254,0.9966,1,0.995,0.80106,0.69458,8.61448,1.27435,0.000132031,0.000132031,0.000132031
87,431.495,0.53387,0.44457,1.08222,0.99653,1,0.995,0.79154,0.69032,9.82179,1.2661,0.000123784,0.000123784,0.000123784
88,437.022,0.5596,0.46975,1.11191,0.99653,1,0.995,0.78897,0.6929,10.1606,1.26372,0.000115537,0.000115537,0.000115537
89,441.449,0.54929,0.46152,1.08684,0.99684,1,0.995,0.79527,0.69007,9.79315,1.24922,0.00010729,0.00010729,0.00010729
90,445.928,0.56598,0.45813,1.07105,0.9958,1,0.995,0.79934,0.68578,9.53877,1.24222,9.90437e-05,9.90437e-05,9.90437e-05
91,452.855,0.48565,0.5432,1.13514,0.99428,1,0.995,0.80664,0.67569,8.90566,1.24732,9.0797e-05,9.0797e-05,9.0797e-05
92,457.191,0.47958,0.55123,1.13044,0.99196,1,0.995,0.80833,0.66034,8.81958,1.25082,8.25503e-05,8.25503e-05,8.25503e-05
93,462.467,0.48096,0.51839,1.14472,0.99486,1,0.995,0.80606,0.65214,13.7954,1.24352,7.43036e-05,7.43036e-05,7.43036e-05
94,466.82,0.47982,0.49686,1.13158,0.99595,1,0.995,0.8132,0.64255,16.0695,1.23243,6.60569e-05,6.60569e-05,6.60569e-05
95,471.313,0.47537,0.48863,1.15226,0.996,1,0.995,0.81119,0.63931,13.6436,1.22406,5.78102e-05,5.78102e-05,5.78102e-05
96,476.858,0.45735,0.48507,1.11893,0.99592,1,0.995,0.80863,0.64967,11.6757,1.22477,4.95635e-05,4.95635e-05,4.95635e-05
97,481.153,0.45671,0.47391,1.09846,0.99629,1,0.995,0.80829,0.66081,12.2885,1.22824,4.13168e-05,4.13168e-05,4.13168e-05
98,485.538,0.4552,0.48838,1.12254,0.99709,1,0.995,0.80806,0.66649,13.1749,1.23046,3.30701e-05,3.30701e-05,3.30701e-05
99,490.729,0.44963,0.46359,1.09557,0.99752,1,0.995,0.80414,0.66662,13.8111,1.23106,2.48234e-05,2.48234e-05,2.48234e-05
100,495.076,0.47228,0.46926,1.1044,0.99741,1,0.995,0.80294,0.66829,13.8096,1.23385,1.65767e-05,1.65767e-05,1.65767e-05
